,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
166,Fairbanks,75,US,1584926700,79,64.84,-147.72,19.99,10.29
167,Kungur,0,RU,1584926700,88,57.44,56.96,10.8,3.0
168,Nome,90,US,1584926700,99,64.5,-165.41,28.99,3.36
169,Russell,90,US,1584926701,88,32.35,-85.2,64.4,6.08
170,Morón,14,AR,1584926701,73,-34.65,-58.62,75.99,6.93
171,Adré,98,TD,1584926701,15,13.47,22.2,71.69,7.0
172,Belaya Gora,0,RU,1584926701,75,68.53,146.42,0.54,1.81
173,Cayenne,69,GF,1584926702,94,4.93,-52.33,75.2,5.41
174,Barranca,45,PE,1584926702,85,-10.75,-77.77,74.34,12.35
175,Cam Ranh,20,VN,1584926702,83,11.92,109.16,77.0,3.36
176,Kamenka,100,RU,1584926702,94,51.32,42.77,25.0,11.01
177,Goreloye,83,RU,1584926703,43,52.94,41.5,25.74,15.32
178,Longyearbyen,90,SJ,1584926703,85,78.22,15.64,19.4,29.97
179,Nioro,0,GM,1584926703,31,13.35,-15.75,76.86,12.41
180,Port Elizabeth,90,ZA,1584926704,100,-33.92,25.57,64.4,18.34
181,Qui Nhon,19,VN,1584926511,88,13.77,109.23,71.82,2.89
182,Ploemeur,90,FR,1584926704,87,47.73,-3.43,48.0,4.7
183,Norrtälje,47,SE,1584926705,79,59.76,18.7,33.01,9.17
184,Nemuro,75,JP,1584926705,60,43.32,145.57,39.2,4.7
185,Asău,100,RO,1584926705,100,46.43,26.4,30.2,11.41
186,Dingle,98,PH,1584926706,78,11.0,122.67,79.02,9.69
187,Half Moon Bay,90,US,1584926706,93,37.46,-122.43,63.0,4.29
188,Tazovsky,11,RU,1584926706,90,67.47,78.7,-14.4,8.37
189,Narsaq,22,GL,1584926707,45,60.92,-46.05,23.0,14.99
190,Nuuk,53,GL,1584926548,67,64.18,-51.72,17.6,6.93
191,Wajid,97,SO,1584926707,62,3.81,43.25,77.22,10.89
192,Vila,0,PT,1584926708,87,42.03,-8.16,55.99,8.05
193,Richards Bay,100,ZA,1584926708,82,-28.78,32.04,75.42,17.74
194,Orshanka,0,RU,1584926708,68,56.92,47.89,20.52,8.77
195,Yellowknife,75,CA,1584926563,63,62.46,-114.35,30.2,6.93
196,Shubarshi,99,KZ,1584926708,66,48.59,57.19,35.46,8.5
197,Khatanga,46,RU,1584926709,97,71.97,102.5,-29.65,7.38
198,Pevek,100,RU,1584926709,92,69.7,170.31,11.75,5.57
199,Hobyo,89,SO,1584926710,79,5.35,48.53,81.72,10.69
200,Ileza,0,RU,1584926710,89,61.05,43.9,15.66,3.49
201,Falam,0,MM,1584926463,85,22.92,93.68,50.27,0.69
202,Codrington,78,AU,1584926710,65,-38.27,141.97,57.78,10.8
203,Juan Aldama,48,MX,1584926711,12,24.29,-103.39,83.34,11.05
204,Hambantota,0,LK,1584926711,100,6.12,81.12,73.4,4.7
205,Aksu,9,CN,1584926711,47,41.12,80.26,48.24,6.82
206,Gijang,0,KR,1584926713,32,35.24,129.21,55.4,4.7
207,Taikang,0,CN,1584926713,47,46.83,124.42,34.07,10.2
208,Upernavik,0,GL,1584926714,97,72.79,-56.15,-12.42,4.45
209,Liverpool,0,GB,1584926451,64,53.41,-2.98,39.2,5.82
210,Saint Anthony,90,US,1584926714,74,45.02,-93.22,41.0,10.29
211,Mezen',87,RU,1584926715,86,65.85,44.24,22.68,13.22
212,Bilma,0,NE,1584926715,14,18.69,12.92,78.66,1.72
213,Fichē,94,ET,1584926715,68,9.8,38.73,65.7,4.05
214,Isiolo,82,KE,1584926716,62,0.35,37.58,72.18,2.86
215,Severo-Kuril'sk,81,RU,1584926716,94,50.68,156.12,28.98,8.5
216,Beringovskiy,100,RU,1584926716,90,63.05,179.32,35.1,16.44
217,Santa Cruz,5,MA,1584926716,87,30.42,-9.6,55.4,6.93
218,Kavaratti,0,IN,1584926717,68,10.57,72.64,83.34,9.48
219,Kapit,99,MY,1584926717,98,2.02,112.93,74.34,1.83
220,Rabo de Peixe,75,PT,1584926717,71,37.8,-25.58,55.4,6.93
221,Gushikawa,75,JP,1584926717,78,26.35,127.87,75.2,8.05
222,Vyshkov,36,RU,1584926718,79,52.48,31.69,19.4,8.95
223,Cianorte,0,BR,1584926718,57,-23.66,-52.6,77.0,8.05
224,Qaanaaq,81,GL,1584926719,72,77.48,-69.36,-10.44,3.0
225,Ekibastuz,99,KZ,1584926719,92,51.67,75.37,25.2,2.75
226,Clyde River,75,CA,1584926719,69,70.47,-68.59,-11.2,2.24
227,Port Lincoln,99,AU,1584926720,69,-34.73,135.87,61.38,16.06
228,Prieska,48,ZA,1584926720,55,-29.66,22.75,69.3,13.47
229,Kununurra,95,AU,1584926720,49,-15.77,128.73,89.6,6.93
230,Lagoa,47,PT,1584926720,65,39.05,-27.98,56.21,5.95
231,Kungurtug,81,RU,1584926721,72,50.6,97.52,20.34,1.9
232,Gaoual,41,GN,1584926721,53,11.75,-13.2,74.57,5.26
233,Katangli,100,RU,1584926721,82,51.71,143.23,24.12,6.24
234,Los Llanos de Aridane,75,ES,1584926722,63,28.66,-17.92,60.8,6.93
235,Leningradskiy,100,RU,1584926722,80,69.38,178.42,10.44,11.88
236,Cidreira,10,BR,1584926724,76,-30.18,-50.21,74.52,21.05
237,Taloda,8,IN,1584926725,54,21.57,74.22,70.02,3.69
238,Hof,1,DE,1584926725,62,50.32,11.92,28.0,5.82
239,Vostok,0,RU,1584926725,81,46.49,135.88,23.04,4.59
240,Harper,70,LR,1584926725,94,4.38,-7.72,78.12,4.32
241,Chui,0,UY,1584926726,77,-33.7,-53.46,66.96,7.45
242,Oktyabr'skoye,33,RU,1584926726,45,43.06,44.74,39.6,3.27
243,Egvekinot,100,RU,1584926726,95,66.32,-179.17,17.69,7.94
244,Epe,69,NG,1584926727,88,6.58,3.98,80.87,6.35
245,Hithadhoo,0,MV,1584926727,65,-0.6,73.08,84.24,5.61
246,Vallenar,0,CL,1584926727,88,-28.57,-70.76,56.52,2.39
247,Grand Gaube,75,MU,1584926728,94,-20.01,57.66,78.8,9.17
248,Kidal,37,ML,1584926729,8,18.44,1.41,77.09,8.1
249,Hilo,90,US,1584926729,73,19.73,-155.09,75.2,5.82
250,Kabala,71,SL,1584926729,58,9.58,-11.55,74.7,4.72
251,Gornopravdinsk,50,RU,1584926729,97,60.05,69.9,6.84,4.0
252,Kamina,91,CD,1584926730,96,-8.74,24.99,62.46,1.97
253,Rome,1,US,1584926465,31,43.21,-75.46,35.01,11.41
254,Itarema,54,BR,1584926731,90,-2.92,-39.92,75.96,3.13
255,Magdagachi,0,RU,1584926731,80,53.45,125.8,18.36,4.92
256,Abonnema,40,NG,1584926731,88,4.71,6.79,80.6,3.51
257,Lazarev,100,RU,1584926731,71,52.23,141.51,21.24,2.84
258,Tupik,11,RU,1584926732,88,54.43,119.93,15.84,1.43
259,Touros,20,BR,1584926732,83,-5.2,-35.46,78.8,9.84
260,Poso,100,ID,1584926732,84,-1.4,120.75,71.51,1.66
261,Sitka,20,US,1584926546,42,57.05,-135.33,48.2,11.41
262,Constitución,0,CL,1584926563,89,-35.33,-72.42,53.82,7.76
263,Kānt,23,IN,1584926733,51,27.8,79.8,64.67,3.15
264,Haines Junction,60,CA,1584926733,69,60.75,-137.51,19.62,8.84
265,Saint-Pierre,0,RE,1584926733,73,-21.34,55.48,77.0,8.05
266,Merauke,100,ID,1584926734,80,-8.47,140.33,83.75,5.77
267,Langenhagen,0,DE,1584926734,58,52.45,9.75,33.8,6.93
268,Port Hedland,100,AU,1584926734,66,-20.32,118.57,89.6,10.29
269,Djibo,18,BF,1584926735,17,14.1,-1.63,83.88,9.69
270,Morondava,0,MG,1584926735,94,-20.28,44.28,72.9,3.56
271,Portree,100,GB,1584926735,72,57.41,-6.19,44.01,18.01
272,Biltine,65,TD,1584926735,14,14.53,20.92,76.68,5.59
273,Dudinka,3,RU,1584926735,75,69.41,86.18,-20.2,6.71
274,Ambon City,40,ID,1584926454,78,-3.7,128.18,82.4,3.36
275,Arlit,56,NE,1584926736,10,18.74,7.39,82.31,6.35
276,Ponta Delgada,75,PT,1584926736,71,37.73,-25.67,55.4,6.93
277,Vancouver,1,CA,1584926627,76,49.25,-123.12,51.01,9.17
278,Effingham County,90,US,1584926736,82,32.37,-81.33,62.6,10.29
279,Suleja,62,NG,1584926737,83,9.18,7.18,80.6,4.7
280,Faya,20,SA,1584926737,82,18.39,42.45,57.2,4.7
281,Skellefteå,82,SE,1584926737,79,64.75,20.95,33.01,6.93
282,Presidencia Roque Sáenz Peña,0,AR,1584926738,47,-26.79,-60.44,70.92,4.34
283,Hofn,100,IS,1584926738,70,64.25,-15.21,43.2,33.13
284,Portland,75,US,1584926591,33,45.52,-122.68,63.0,11.41
285,Sabang,38,ID,1584926739,67,5.89,95.32,83.52,9.71
286,Lorengau,100,PG,1584926740,71,-2.02,147.27,84.6,6.26
287,Pirovskoye,100,RU,1584926740,85,57.63,92.27,15.35,18.5
288,Yongchang,89,CN,1584926741,54,30.04,119.73,57.99,5.26
289,Marsh Harbour,0,BS,1584926741,76,26.54,-77.06,73.67,10.27
290,São Filipe,73,CV,1584926741,79,14.9,-24.5,69.12,18.54
291,Binga,96,ZW,1584926741,75,-17.62,27.34,74.03,1.66
292,Coihueco,0,CL,1584926742,62,-36.62,-71.83,59.0,5.82
293,Bud,90,US,1584926743,86,39.45,-86.18,39.99,9.17
294,Khovd,100,MN,1584926684,45,48.01,91.64,30.96,10.04
295,Barletta,100,IT,1584926744,71,41.31,16.29,55.4,9.17
296,Miraflores,40,MX,1584926744,20,19.22,-98.81,86.0,14.99
297,Wilmington,90,US,1584926550,66,34.23,-77.94,54.0,10.29
298,Ulladulla,40,AU,1584926745,49,-35.35,150.47,68.0,10.29
299,Mayo,75,US,1584926745,75,38.89,-76.51,46.4,12.75
300,Porto-Novo,20,BJ,1584926745,94,6.5,2.6,80.6,6.93
301,Bijie,75,CN,1584926745,84,27.31,105.29,55.44,1.57
302,Ugoofaaru,10,MV,1584926745,68,5.67,73.0,82.85,5.91
303,Lima,27,PE,1584926618,73,-12.04,-77.03,75.2,12.75
304,Teya,100,RU,1584926746,85,60.38,92.63,5.94,13.0
305,Ürümqi,100,CN,1584926746,61,43.8,87.6,48.2,2.24
306,San Cristobal,40,VE,1584926705,54,7.77,-72.22,82.4,3.36
307,Mildura,31,AU,1584926747,44,-34.2,142.15,64.99,12.75
308,Atambua,62,ID,1584926747,76,-9.11,124.89,78.89,0.67
309,Almaşu,90,RO,1584926747,92,46.95,23.13,28.4,6.93
310,La Ronge,75,CA,1584926747,50,55.1,-105.28,33.8,11.41
311,Puri,20,IN,1584926747,94,19.8,85.85,69.8,0.25
312,Hong Kong,20,HK,1584926666,83,22.29,114.16,78.01,3.36
313,Bozoum,4,CF,1584926748,71,6.32,16.38,71.1,4.54
314,San Buenaventura,2,MX,1584926748,51,27.08,-101.53,73.8,11.25
315,Inhambane,69,MZ,1584926749,83,-23.86,35.38,77.94,9.73
316,Xichang,32,CN,1584926749,89,27.9,102.26,40.14,2.48
317,San Patricio,20,MX,1584926749,78,19.22,-104.7,82.4,9.17
318,Boa Vista,75,BR,1584926750,43,2.82,-60.67,89.6,11.41
319,Mogadishu,2,SO,1584926750,77,2.04,45.34,82.62,11.9
320,Flin Flon,71,CA,1584926750,82,54.77,-101.86,30.06,7.02
321,Manggar,89,ID,1584926751,77,-2.88,108.27,81.95,6.11
322,Vestmanna,100,FO,1584926751,87,62.16,-7.17,44.6,20.8
323,Seoul,1,KR,1584926752,53,37.57,126.98,53.6,3.36
324,Maturin,18,VE,1584926752,57,9.75,-63.18,79.43,9.8
325,Vilhena,25,BR,1584926752,86,-12.74,-60.15,72.0,2.1
326,Tateyama,75,JP,1584926752,66,34.98,139.87,55.4,17.22
327,Sarkand,98,KZ,1584926752,95,45.41,79.92,37.08,3.18
328,Dunmore Town,0,BS,1584926753,78,25.5,-76.65,73.85,10.65
329,Pedasí,4,PA,1584926584,75,7.53,-80.03,79.38,13.15
330,Halifax,5,CA,1584926498,44,44.65,-63.57,23.0,6.93
331,Nuristan,95,AF,1584926753,73,35.3,70.83,11.16,3.76
332,Chicama,78,PE,1584926754,61,-7.84,-79.15,74.52,6.08
333,Cabo San Lucas,5,MX,1584926754,60,22.89,-109.91,73.99,9.17
334,Coxim,96,BR,1584926472,92,-18.51,-54.76,75.42,4.7
335,Geraldton,0,AU,1584926754,45,-28.77,114.6,82.99,23.04
336,Isangel,75,VU,1584926754,74,-19.55,169.27,84.2,11.41
337,Talnakh,12,RU,1584926756,75,69.49,88.4,-20.2,6.71
338,Maniitsoq,6,GL,1584926756,71,65.42,-52.9,14.04,11.41
339,San Ignacio Río Muerto,20,MX,1584926757,38,27.42,-110.23,75.2,6.93
340,Jinchang,80,CN,1584926757,53,38.5,102.17,38.88,10.89
341,Auki,82,SB,1584926757,70,-8.77,160.7,84.47,1.36
342,Taoudenni,5,ML,1584926757,15,22.68,-3.98,69.12,10.89
343,Tiksi,9,RU,1584926758,80,71.69,128.87,-6.12,10.27
344,Novo Selo,100,MK,1584926758,79,41.41,22.88,53.01,5.99
345,Pizhanka,0,RU,1584926758,87,57.46,48.54,13.32,5.37
346,Saint-Joseph,0,RE,1584926759,73,-21.37,55.62,77.0,8.05
347,Andenes,100,NO,1584926759,67,69.31,16.12,37.4,23.04
348,Nicolás Bravo,0,MX,1584926465,59,18.45,-88.92,80.28,6.13
349,Talcahuano,40,CL,1584926760,82,-36.72,-73.12,57.2,5.82
350,Camacha,40,PT,1584926760,77,33.08,-16.33,59.0,20.8
351,Ţahţā,17,EG,1584926760,33,26.77,31.5,57.2,4.7
352,Port Augusta,99,AU,1584926761,42,-32.5,137.77,68.0,12.75
353,Maningrida,60,AU,1584926761,71,-12.07,134.27,81.05,8.84
354,Panlaitan,70,PH,1584926586,72,12.12,119.85,82.08,4.99
355,Coruripe,33,BR,1584926762,80,-10.13,-36.18,82.62,11.1
356,Kuytun,100,RU,1584926762,96,54.34,101.5,31.14,1.61
357,Iqaluit,90,CA,1584926563,72,63.75,-68.51,14.0,14.99
358,Gazli,96,UZ,1584926763,40,40.13,63.45,50.94,22.95
359,Salalah,75,OM,1584926763,100,17.02,54.09,78.8,6.93
360,Coquimbo,0,CL,1584926664,87,-29.95,-71.34,60.8,4.7
361,Laguna,1,US,1584926763,35,38.42,-121.42,72.0,1.99
362,Waddān,0,LY,1584926764,30,29.16,16.14,66.96,6.6
363,Lerwick,100,GB,1584926765,87,60.15,-1.15,42.8,27.51
364,Beyneu,38,KZ,1584926766,68,45.32,55.2,40.14,11.83
365,Waipawa,100,NZ,1584926766,63,-41.41,175.52,66.2,20.8
366,Burhānpur,0,IN,1584926766,40,21.3,76.23,72.05,6.69
367,Nhulunbuy,75,AU,1584926717,70,-12.23,136.77,84.2,11.41
368,Karasjok,100,NO,1584926768,69,69.47,25.51,33.8,38.03
369,Gladstone,40,AU,1584926768,54,-23.85,151.25,82.4,10.29
370,Dunedin,94,NZ,1584926608,89,-45.87,170.5,55.0,11.99
371,Tubinskiy,90,RU,1584926768,100,52.89,58.22,21.2,11.18
372,Kandrian,100,PG,1584926769,71,-6.22,149.55,85.14,2.13
373,Iralaya,20,HN,1584926769,78,15.0,-83.23,80.6,5.82
